Url,StatusCode
https://doi.org/10.1093/gerona/glw233,403
https://jamanetwork.com/journals/jama/fullarticle/2787907,403
https://doi.org/10.1111/jep.13791,403
https://doi.org/10.1177/2047487320913379,403
https://academic.oup.com/eurjcn/article/16/5/369/5924694,403
https://doi.org/10.1093/eurheartj/ehac747,403
https://doi.org/10.1177/1474515117737766,403
https://doi.org/10.1177/2047487317719355,403
https://academic.oup.com/eurheartj/article/44/6/452/7028725,403
https://academic.oup.com/eurjcn/article-abstract/17/3/273/5924989?redirectedFrom=fulltext,403
https://academic.oup.com/eurjpc/article/24/13/1360/5926830,403
https://academic.oup.com/eurjpc/article/28/5/460/6145619,403
https://academic.oup.com/eurjcn/article-abstract/16/5/369/5924694?redirectedFrom=fulltext,403
https://www.oecd.org/en/data.html,403
